1960,35
1961,35
1962,35
1963,35
1964,35
1965,35
1966,35
1967,35
1968,39.26
1969,41.51
1970,36.41
1971,41.25
1972,58.6
1973,97.81
1974,159.74
1975,161.49
1976,125.32
1977,148.31
1978,193.55
1979,307.5
1980,612.56
1981,459.64
1982,375.91
1983,424
1984,360.66
1985,317.66
1986,368.24
1987,447.95
1988,438.31
1989,382.58
1990,384.93
1991,363.29
1992,344.97
1993,360.91
1994,385.42
1995,385.5
1996,389.09
1997,332.39
1998,295.24
1999,279.91
2000,280.1
2001,272.22
2002,311.33
2003,364.8
2004,410.52
2005,446
2006,606
2007,699
2008,874
2009,975
2010,1227
2011,1572
2012,1700
2013,1415
2014,1269
2015,1163
2016,1252
2017,1260
2018,1270
2019,1390
2020,1770
