1959,433.9
1960,652.3
1961,1150.8
1962,1967.0
1963,2617.0
1964,3004.4
1965,2908.5
1966,2874.7
1967,2133.0
1968,1455.2
1969,889.3
1970,1333.3
1971,1331.0
1972,2349.6
1973,2695.5
1974,2942.1
1975,1646.2
1976,1559.8
1977,1079.1
1978,676.9
1979,744.7
1980,811.0
1981,588.3
1982,636.9
1983,526.9
1984,602.4
1985,779.6
1986,920.1
1987,917.6
1988,778.0
1989,954.9
1990,1072.8
1991,1239.3
1992,1180.9
1993,913.7
1994,1428.8
1995,1488.7
1996,1467.5
1997,1175.1
1998,1196.2
1999,1302.2
2000,1450.5
2001,1786.4
2002,1518.7
2003,2247.5
2004,2694.3
2005,2355.5
2006,2259.7
2007,1813.2
2008,1619.9
2009,1559.9
2010,1630.5
2011,1706.1
2012,1746.1
2013,1395.3
2014,1512.6
2015,1594.3
2016,1769.6
2017,1949.9
2018,2308.8
2019,2801.6
2020,2020.0
